date,open,high,low,close,adj close,volume
2003-06-30,739.950012,768.429993,739.950012,765.609985,765.609985,0
2003-07-01,765.280029,765.650024,749.900024,758.539978,758.539978,0
2003-07-02,757.059998,764.820007,744.890015,749.020020,749.020020,0
2003-07-03,743.400024,745.450012,717.539978,721.059998,721.059998,0
2003-07-04,722.409973,729.349976,708.869995,727.280029,727.280029,0
2003-07-07,728.619995,747.400024,728.619995,738.780029,738.780029,0
2003-07-08,736.530029,738.280029,720.039978,721.179993,721.179993,0
2003-07-09,null,null,null,null,null,null
2003-07-10,718.020020,718.020020,699.190002,706.020020,706.020020,0
2003-07-11,709.090027,720.510010,706.989990,710.500000,710.500000,0
2003-07-14,709.609985,713.200012,702.960022,708.690002,708.690002,0
2003-07-15,704.690002,706.979980,687.710022,693.320007,693.320007,0
2003-07-16,693.320007,699.539978,685.530029,698.260010,698.260010,0
2003-07-17,699.599976,722.229980,699.210022,721.380005,721.380005,0
2003-07-18,724.440002,743.239990,724.440002,743.239990,743.239990,0
2003-07-21,747.190002,755.000000,735.830017,736.909973,736.909973,0
2003-07-22,737.799988,747.119995,730.809998,746.080017,746.080017,0
2003-07-23,748.500000,755.119995,745.210022,747.450012,747.450012,0
2003-07-24,747.900024,749.729980,733.659973,735.919983,735.919983,0
2003-07-25,734.219971,737.409973,729.609985,733.760010,733.760010,0
2003-07-28,734.429993,735.510010,726.109985,735.510010,735.510010,0
2003-07-29,735.770020,758.979980,732.359985,758.619995,758.619995,0
2003-07-30,759.150024,776.690002,759.150024,763.380005,763.380005,0
2003-07-31,764.190002,774.299988,752.559998,755.340027,755.340027,0
2003-08-01,754.440002,758.409973,747.780029,748.780029,748.780029,0
2003-08-04,748.419983,755.159973,746.140015,754.890015,754.890015,0
2003-08-05,756.349976,759.070007,742.090027,742.090027,742.090027,0
2003-08-06,742.090027,745.979980,736.469971,737.739990,737.739990,0
2003-08-07,736.840027,747.419983,736.840027,741.719971,741.719971,0
2003-08-08,742.349976,754.619995,739.390015,740.250000,740.250000,0
2003-08-11,740.469971,742.099976,713.250000,715.010010,715.010010,0
