underlying,underlying_last,optionroot,type,expiration,quotedate,strike,last,bid,ask,volume,openinterest,ivbid,ivask,delta,gamma
MELI,37.03,QMB080322P00020000,put,03/22/2008,01/31/2008,20.0,0.0,0.55,0.75,0,0,1.2697,1.3834,-0.065,0.006999999999999999
MELI,37.03,QMB080322C00022500,call,03/22/2008,01/31/2008,22.5,0.0,14.9,16.1,0,0,0.8803,1.4587,0.9079999999999999,0.0097
MELI,37.03,QMB080322P00022500,put,03/22/2008,01/31/2008,22.5,0.0,0.9,1.1,0,0,1.2377,1.3223,-0.0975,0.0098
MELI,37.03,QMB080322C00025000,call,03/22/2008,01/31/2008,25.0,11.2,13.4,14.1,5,12,1.16,1.3882,0.8665,0.0129
MELI,37.03,QMB080322P00025000,put,03/22/2008,01/31/2008,25.0,1.45,1.4,1.6,68,145,1.2159,1.2821,-0.1376,0.0128
MELI,37.03,QMB080322C00030000,call,03/22/2008,01/31/2008,30.0,9.9,9.8,10.4,22,34,1.1168,1.2573,0.7623,0.0192
MELI,37.03,QMB080322P00030000,put,03/22/2008,01/31/2008,30.0,2.7,2.8,3.1,51,391,1.1616,1.2318,-0.2389,0.019
MELI,37.03,QMB080322C00035000,call,03/22/2008,01/31/2008,35.0,7.3,7.0,7.5,94,57,1.1022,1.2,0.6396,0.0239
MELI,37.03,QMB080322P00035000,put,03/22/2008,01/31/2008,35.0,4.9,4.7,5.2,14,119,1.0865,1.1836,-0.3603,0.0239
MELI,37.03,QMB080322C00040000,call,03/22/2008,01/31/2008,40.0,5.1,4.7,5.2,44,257,1.0574,1.1487,0.5124,0.0262
MELI,37.03,QMB080322P00040000,put,03/22/2008,01/31/2008,40.0,7.7,7.4,8.0,26,308,1.0476,1.157,-0.4884,0.0263
MELI,37.03,QMB080322C00045000,call,03/22/2008,01/31/2008,45.0,3.5,3.2,3.5,70,400,1.0542,1.1114,0.3934,0.0258
MELI,37.03,QMB080322P00045000,put,03/22/2008,01/31/2008,45.0,11.3,10.7,11.3,1,198,1.0108,1.1246,-0.6087,0.026000000000000002
MELI,37.03,QMB080322C00050000,call,03/22/2008,01/31/2008,50.0,2.35,2.1,2.35,61,399,1.0399,1.0928,0.2913,0.0235
MELI,37.03,QMB080322P00050000,put,03/22/2008,01/31/2008,50.0,14.8,14.6,15.2,0,264,0.9963,1.1238,-0.7106,0.0235
MELI,37.03,QMB080322C00055000,call,03/22/2008,01/31/2008,55.0,1.35,1.25,1.55,91,357,1.0004,1.0768,0.2099,0.02
MELI,37.03,QMB080322P00055000,put,03/22/2008,01/31/2008,55.0,18.92,18.7,19.5,20,156,0.9389,1.1431,-0.7896,0.02
MELI,37.03,QMB080322C00060000,call,03/22/2008,01/31/2008,60.0,0.9,0.85,1.1,45,780,1.0132,1.0903,0.1486,0.0162
MELI,37.03,QMB080322P00060000,put,03/22/2008,01/31/2008,60.0,23.32,23.3,24.2,20,229,0.945,1.2144,-0.8466,0.0163
MELI,37.03,QMB080322C00065000,call,03/22/2008,01/31/2008,65.0,0.61,0.5,0.75,41,326,0.99,1.0889,0.1046,0.0127
MELI,37.03,QMB080322P00065000,put,03/22/2008,01/31/2008,65.0,18.2,27.8,28.9,0,55,0.8084,1.2588,-0.8855,0.0131
MELI,37.03,QMB080322C00070000,call,03/22/2008,01/31/2008,70.0,0.43,0.25,0.5,61,290,0.9437,1.0823,0.0741,0.0098
MELI,37.03,QMB080322P00070000,put,03/22/2008,01/31/2008,70.0,17.0,32.7,33.9,0,124,0.8206,1.3714,-0.9109999999999999,0.0107
MELI,37.03,QMB080322C00075000,call,03/22/2008,01/31/2008,75.0,0.25,0.15,0.4,30,281,0.9389,1.1151,0.0535,0.0076
MELI,37.03,QMB080322P00075000,put,03/22/2008,01/31/2008,75.0,27.4,37.6,38.6,0,134,0.7679,1.3786,-0.927,0.0089
MELI,37.03,QMB080322C00080000,call,03/22/2008,01/31/2008,80.0,0.3,0.15,0.35,20,306,1.0067,1.1609,0.0397,0.0059
MELI,37.03,QMB080322P00080000,put,03/22/2008,01/31/2008,80.0,43.8,42.4,43.6,0,133,0.0,1.4719,-0.9365,0.0077
MELI,37.03,QMB080322C00085000,call,03/22/2008,01/31/2008,85.0,0.2,0.0,0.25,0,219,0.0,1.1594,0.0305,0.0047
MELI,37.03,QMB080322P00085000,put,03/22/2008,01/31/2008,85.0,29.6,47.4,48.3,0,40,0.0,1.4463,-0.9412,0.0069
MELI,37.03,QMB080322C00090000,call,03/22/2008,01/31/2008,90.0,0.2,0.0,0.25,0,328,0.0,1.2215,0.0246,0.0038
MELI,37.03,QMB080322P00090000,put,03/22/2008,01/31/2008,90.0,34.4,52.3,53.4,0,14,0.0,1.5665,-0.9544,0.0056
MELI,37.03,QMB080322C00095000,call,03/22/2008,01/31/2008,95.0,0.0,0.0,0.2,0,33,0.0,1.2339,0.0207,0.0032
MELI,37.03,QMB080322P00095000,put,03/22/2008,01/31/2008,95.0,0.0,57.2,58.9,0,0,0.0,1.8168,-0.9646,0.0046
MELI,37.03,QMB080322C00100000,call,03/22/2008,01/31/2008,100.0,0.05,0.0,0.2,9,65,0.0,1.2868,0.0183,0.0028
MELI,37.03,QMB080322P00100000,put,03/22/2008,01/31/2008,100.0,59.0,62.3,63.3,0,14,0.0,1.6745,-0.9725,0.0037
MELI,37.03,QMB080322C00105000,call,03/22/2008,01/31/2008,105.0,0.0,0.0,0.2,0,197,0.0,1.3358,0.017,0.0026
MELI,37.03,QMB080322P00105000,put,03/22/2008,01/31/2008,105.0,44.1,67.2,68.9,0,0,0.0,1.9587,-0.9785,0.003
MELI,37.03,QMB080322C00110000,call,03/22/2008,01/31/2008,110.0,0.0,0.0,0.2,0,50,0.0,1.3825,0.013000000000000001,0.002
MELI,37.03,QMB080322P00110000,put,03/22/2008,01/31/2008,110.0,0.0,72.2,73.9,0,0,0.0,2.0243,-0.9832,0.0024
MELI,37.03,QMB080322C00115000,call,03/22/2008,01/31/2008,115.0,0.0,0.0,0.15,0,119,0.0,1.3699,0.01,0.0016
MELI,37.03,QMB080322P00115000,put,03/22/2008,01/31/2008,115.0,0.0,77.2,78.9,0,0,0.0,2.0868,-0.9869,0.002
MELI,37.03,QMB080621C00017500,call,06/21/2008,01/31/2008,17.5,0.0,20.7,21.7,0,0,1.0357,1.3302,0.9208,0.0054
MELI,37.03,QMB080621P00017500,put,06/21/2008,01/31/2008,17.5,1.55,1.25,1.55,28,0,1.1452,1.2326,-0.0803,0.0054
MELI,37.03,QMB080621C00020000,call,06/21/2008,01/31/2008,20.0,23.0,18.9,19.9,0,2,1.0631,1.2948,0.8915,0.006999999999999999
MELI,37.03,QMB080621P00020000,put,06/21/2008,01/31/2008,20.0,2.0,1.85,2.05,0,71,1.1313,1.1782,-0.1091,0.0069
MELI,37.03,QMB080621C00022500,call,06/21/2008,01/31/2008,22.5,0.0,17.2,18.2,0,0,1.0691,1.2629,0.8590000000000001,0.0085
MELI,37.03,QMB080621P00022500,put,06/21/2008,01/31/2008,22.5,2.55,2.55,2.9,7,62,1.1126,1.1805,-0.1411,0.0084
